city,lat,lng,country,,,,,X,Y,,,Xp,Yp,,,iso2,admin_name,capital,population,population_proper
Dublin,53.3425,-6.2658,Ireland,6371,0.5970,0.9940,1,3780.95762416648,-415.13738711464,,1,-415.13738711464,-3780.95762416648,,,IE,Dublin,primary,1173179,1173179
Cork,51.9000,-8.4731,Ireland,6371,0.6170,0.9891,2,3888.22780525718,-579.233398228436,,2,-579.233398228436,-3888.22780525718,,,IE,Cork,admin,208669,208669
Galway,53.2729,-9.0418,Ireland,6371,0.5980,0.9876,3,3762.54362032143,-598.742504864765,,3,-598.742504864765,-3762.54362032143,,,IE,Galway,admin,79504,79504
Limerick,52.6653,-8.6238,Ireland,6371,0.6065,0.9887,4,3820.13703627076,-579.364645129012,,4,-579.364645129012,-3820.13703627076,,,IE,Limerick,admin,58319,58319
Waterford,52.2583,-7.1190,Ireland,6371,0.6121,0.9923,5,3869.64326371621,-483.2927321706,,5,-483.2927321706,-3869.64326371621,,,IE,Waterford,admin,48369,48369
Drogheda,53.7139,-6.3503,Ireland,6371,0.5918,0.9939,6,3747.33548777651,-417.039898379657,,6,-417.039898379657,-3747.33548777651,,,IE,Louth,,40956,40956
Dún Dealgan,54.0090,-6.4049,Ireland,6371,0.5877,0.9938,7,3720.60173945406,-417.65454854308,,7,-417.65454854308,-3720.60173945406,,,IE,Louth,admin,39004,39004
Swords,53.4597,-6.2181,Ireland,6371,0.5954,0.9941,8,3770.90097676362,-410.85628386411,,8,-410.85628386411,-3770.90097676362,,,IE,Fingal,admin,33998,33998
Tralee,52.2675,-9.6962,Ireland,6371,0.6120,0.9857,9,3843.20034920601,-656.667931082584,,9,-656.667931082584,-3843.20034920601,,,IE,Kerry,admin,26384,22941
Carlow,52.8306,-6.9317,Ireland,6371,0.6042,0.9927,10,3821.05536576881,-464.543682628871,,10,-464.543682628871,-3821.05536576881,,,IE,Carlow,admin,24272,24272
Dunleary,53.3000,-6.1400,Ireland,6371,0.5976,0.9943,11,3785.62831985528,-407.24020981196,,11,-407.24020981196,-3785.62831985528,,,IE,Dún Laoghaire-Rathdown,admin,23857,23857
Kilkenny,52.6477,-7.2561,Ireland,6371,0.6067,0.9920,12,3834.4207246052,-488.214771988288,,12,-488.214771988288,-3834.4207246052,,,IE,Kilkenny,admin,22179,22179
Naas,53.2158,-6.6669,Ireland,6371,0.5988,0.9932,13,3789.17512989601,-442.906695818171,,13,-442.906695818171,-3789.17512989601,,,IE,Kildare,admin,21393,21393
Sligo,54.2667,-8.4833,Ireland,6371,0.5840,0.9891,14,3680.03834815697,-548.888885517813,,14,-548.888885517813,-3680.03834815697,,,IE,Sligo,admin,19452,19452
